DBSFG1, 04/13/24,INC,REP,E(WM0106) 00 2022-23 RWADA,F(WM0111) 00 2021 ACTUAL VALUATION/2022-23 RWADA,G(NO0090) 05 TR AR: 1.01-(.46*AV/RWADA WLTH RATIO),H(WM0126) 00 2022-23 RESIDENT PUB+NONPUB ENROLLMENT,I(WM0131) 00 2021 AV/2022-23 RES PUB+NONPUB ENRLMT,J(NO0091) 05 TRANS ENRL AR: 1.01-(.46*EWR),K(WM0184) 05 STATE SHARING RATIO (SSR),L(NO0094) 05 22-23 ENR/SQ MILE,M(NO0095) 05 TRANS SPARSTY ADJ:(21 - 22-23ENR/SQ MI)/317.88,"N(NO0075) 05 24-25 SEL TRANSP AID RATIO,.9 MAX,.065 MIN","O(NO0074) 00 TRANS NON-CAP EXP W/O SUMMR,S.3627FOR 24-25 AID",P(E10074) 00 TRANS SEC 3627 TOTAL EXPENDITURES,Q(E10037) 00 TRANS CAPITAL NEW BUS PURCHASE EXP,R(E10038) 00 TRANS CAPITAL NEW LEASE EXPENDITURE,S(E10036) 00 TRANS CAPITAL NEW EQUIPMENT EXPENDITURE,T(NO0040) 00 SUMMER TRANS NON-CAPITAL EXP FOR 24-25 AID,U(NO0106) 00 2024-25 TRANSP AID ON NON-CAPITAL EXPENDITURES,V(NO0079) 00 2024-25 TRANSP AID ON CAPITAL EXPENDITURES,"W(K20133) 00 2022-23 PUBLIC ENROLLMENT, ATTN, DUPLICATED",X(PK0155) 00 2023-24 MAX TPK AID,Y(PK0151) 00 2023-24 90M FED UPK EXP GRANT,Z(PK0153) 00 2023-24 15M SUFDPK EXP GRANT,AA(PK0162) 00 2023-24 100M UPK EXP GRANT,AB(PK0159) 00 2023-24 25M SUFDPK EXP GRANT,AC(PK0111) 00 2023-24 MAX SUFDPK AID(1415),AD(FL0006) 00 2023-24 MAX UPK AID,AE(CL0014) 00 2023-24 PAYABLE UPK AID,AF(FL0018) 05 3 YR. DIRECT CERTIFICATION AVERAGE
522001,STILLWATER,1,0,"1,041","900,128",0.612,"1,024","915,072",0.555,0.435,19.222,0.005,0.617,"1,332,919",0,"200,688",0,0,"16,987","822,411","123,824","1,005",0,"139,200",0,0,0,0,"174,000","174,000",0.27139
522101,WATERFORD,1,0,744,"766,782",0.671,788,"723,967",0.650,0.564,98.342,0.000,0.712,"1,268,982",0,"36,997",0,0,0,"903,515","26,342",730,0,"136,320",0,0,0,0,"113,600","90,880",0.38407
530101,DUANESBURG,1,0,676,"687,978",0.706,649,"716,599",0.654,0.508,10.637,0.032,0.738,"1,410,439",0,"313,686",0,0,0,"1,040,904","231,500",629,0,0,0,0,"180,000",0,"146,640","146,640",0.20254
530202,SCOTIA GLENVIL,1,0,"2,284","675,853",0.711,"2,340","659,679",0.682,0.545,61.618,0.000,0.711,"2,373,184",0,"379,820",0,"33,761","4,618","1,687,334","294,056","2,238",0,"303,584",0,"355,136",0,0,"486,880",0,0.27654
530301,NISKAYUNA,1,0,"4,569","637,570",0.728,"4,493","648,355",0.688,0.478,207.768,0.000,0.728,"5,013,257",0,"948,404",0,"45,371",0,"3,649,651","723,468","4,338",0,"561,600",0,"507,600",0,0,"707,400",0,0.14399
530501,SCHALMONT,1,0,"1,862","807,488",0.653,"1,871","803,604",0.610,0.475,22.850,0.000,0.653,"3,853,867",0,"343,420",0,0,0,"2,516,575","224,253","1,814",0,"210,600",0,"194,400",0,0,"324,000",0,0.24689
530515,MOHONASEN,1,0,"2,808","569,360",0.758,"2,878","555,512",0.734,0.628,254.483,0.000,0.793,"3,778,730",0,"447,156",0,"35,926","71,114","2,996,533","383,084","2,767",0,"408,144",0,"506,592",0,0,"692,112",0,0.35505
530600,SCHENECTADY,1,0,"8,816","313,607",0.872,"9,975","277,168",0.872,0.900,834.805,0.000,0.900,"13,526,677",0,0,0,0,0,"12,174,009",0,"9,354",0,0,0,0,0,0,"4,748,555","4,438,112",0.76722
540801,GILBOA CONESVI,1,0,265,"2,224,365",0.025,285,"2,068,269",-0.020,0.229,2.215,0.059,0.348,"655,410",0,"106,951",0,0,0,"228,083","37,219",289,0,0,0,0,0,0,"22,500","22,500",0.48374
540901,JEFFERSON,1,0,138,"1,352,836",0.411,154,"1,212,281",0.407,0.388,2.170,0.059,0.549,"407,607",0,"94,901",0,0,0,"223,776","52,101",143,0,0,0,0,0,0,"24,724",0,0.53768
541001,MIDDLEBURGH,1,0,623,"821,080",0.647,630,"811,957",0.606,0.560,3.553,0.054,0.761,"1,658,507",0,"365,578",0,"15,807","3,730","1,262,124","290,234",617,0,0,0,0,0,0,"243,236","243,236",0.47976
541102,COBLESKL-RICHM,1,0,"1,448","613,053",0.739,"1,456","609,684",0.707,0.634,8.359,0.039,0.839,"2,003,870",0,"570,665",0,"35,961",0,"1,681,247","508,959","1,515",0,0,0,"263,147",0,0,"679,515","406,557",0.43395
541201,SCHOHARIE,1,0,834,"530,875",0.775,828,"534,722",0.744,0.641,10.248,0.033,0.842,"2,229,990",0,"353,355",0,"8,971","28,213","1,877,652","305,078",818,0,0,0,0,0,0,"372,000","372,000",0.41605
