DBSFI1, 04/13/24,INC,REP,E(NO0708) 00 BLDG LEASE AID,F(NO0709) 00 BLDG AMORT-RETRO AID,G(NO0710) 00 BLDG AMORT-PROSP AID,H(NO0707) 00 BLDG AMORT-CAP OUTLAY AID,I(NO0711) 00 BLDG 2023 DEFERD JULY AID,J(NO0715) 00 BLDG 2022 DEFERD JULY AID,K(NO0712) 00 BLDG NYC UNCONFIRMED  AID,L(NO0713) 00 BLDG REFUND/REFIN AID (A.R.),M(NO0568) 00 BLDG AID ON 3 CAP OUTLAY EXCEPTIONS,"N(NO0572) 00 BLDG AID ON METAL DETECTORS,ETC.",O(NO0569) 00 BLDG EXP FOR BLDG CONDITION SURVEYS,P(NO0570) 05 BLDG CONDITION SURVEY AID RATIO,Q(NO0571) 00 BLDG AID FOR BLDG CONDITION SURVEYS,R(NO0573) 00 BLDG AID DUE SPECIAL LEGISLATION,S(NO0468) 00 CHAPTER 97 POTENTIAL EXPENDITURES,T(NO0540) 00 CHAPTER 97 POTENTIAL AID,U(A10117) 00 -BLDG AID 23-24 DEFERRED TO 2024-25 (NYC),V(A20117) 00 +BLDG AID 22-23 DEFERRED TO 2023-24 (NYC),W(NO0719) 00 REORG INCENTIVE NET EXPENDITURES,X(NO0720) 00 REBL AMORT (PROSP)  EXPENDITURES,Y(NO0721) 00 REBL DEFERRED JULY  EXPENDITURES,Z(NO0723) 00 REORG INCENTIVE NET AID,AA(NO0724) 00 REBL AMORT (PROSP)  AID,AB(NO0725) 00 REBL DEFERRED JULY  AID,AC(FA0153) 00 24-25 BLDG AID DEFERRED TO 7/24,AD(FA0154) 00 23-24 BLDG AID DEFERRED TO 7/23,AE(CL0014) 00 2023-24 PAYABLE UPK AID
090501,NORTHEASTERN,1,0,0,0,"2,013,459",0,0,0,0,0,0,0,0,0.773,0,0,"179,704","156,882",0,0,0,"249,936",0,0,"19,245",0,0,0,"495,127"
090601,CHAZY,1,0,0,0,"635,152",0,0,0,0,0,"84,700",0,0,0.747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
090901,NORTHRN ADIRON,1,0,0,0,"1,755,955",0,0,0,0,0,"88,900",0,0,0.789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"179,813"
091101,PERU,1,0,0,0,"2,320,840",0,0,0,0,0,"88,000","29,260",0,0.780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"633,467"
091200,PLATTSBURGH,1,0,0,0,"1,780,581",0,0,0,0,0,0,"28,385",0,0.746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"351,671"
091402,SARANAC,1,0,0,0,"1,634,161",0,0,0,0,0,"86,100","17,220","38,500",0.761,"29,299",0,"505,791","435,486",0,0,0,0,0,0,0,0,0,0,"636,880"
100501,COPAKE-TACONIC,1,0,0,0,"769,897",0,0,0,0,"81,343",0,"3,499",0,0.316,0,"1,870,648",0,0,0,0,"4,206","51,628",0,437,"5,369",0,0,0,"194,400"
100902,GERMANTOWN,1,0,0,0,"346,473",0,0,0,0,0,"58,800",0,0,0.488,0,0,"11,450","6,733",0,0,0,0,0,0,0,0,0,0,0
101001,CHATHAM,1,0,0,0,"813,813",0,0,0,0,0,"49,600",0,0,0.396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"43,200"
101300,HUDSON,1,0,0,0,"3,784,888",0,0,0,0,0,0,0,0,0.614,0,0,"80,376","57,388",0,0,0,"3,827,904",0,0,"683,280",0,0,0,"304,028"
101401,KINDERHOOK,1,0,0,0,"2,603,655",0,0,0,0,0,0,"23,711","8,000",0.635,"5,080",0,0,0,0,0,0,0,0,0,0,0,0,0,0
101601,NEW LEBANON,1,0,0,0,"444,191",0,0,0,0,0,0,0,0,0.350,0,0,"151,138","68,012",0,0,0,"22,164",0,0,"2,493",0,0,0,0
110101,CINCINNATUS,1,0,0,0,"1,146,775",0,0,0,0,0,"92,400",0,0,0.824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"156,015"
110200,CORTLAND,1,0,0,0,"3,617,735",0,0,0,0,0,"87,900",0,"150,000",0.779,"116,850",0,"1,250,937","1,099,574",0,0,0,0,0,0,0,0,0,0,"508,644"
110304,MCGRAW,1,0,0,0,"1,485,823",0,0,0,0,0,"127,191",0,"2,301",0.847,"1,949",0,0,0,0,0,0,0,0,0,0,0,0,0,"217,092"
110701,HOMER,1,0,0,0,"1,784,073",0,0,0,0,0,"84,900","29,715",0,0.749,0,0,"2,296,842","1,950,019",0,0,0,0,0,0,0,0,0,0,"790,748"
110901,MARATHON,1,0,0,0,"1,677,718",0,0,0,0,0,0,0,"25,000",0.840,"21,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"331,003"
120102,ANDES,1,0,0,0,"74,416",0,0,0,0,0,0,0,0,0.104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120301,DOWNSVILLE,1,0,0,0,"112,475",0,0,0,0,0,0,"3,500",0,0.001,0,0,"259,710","26,231",0,0,0,0,0,0,0,0,0,0,0
120401,CHARLOTTE VALL,1,0,0,0,"1,029,031",0,0,0,0,0,"77,500",0,0,0.675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"80,000"
120501,DELHI,1,0,0,0,"1,017,794",0,0,0,0,0,"30,786","22,222",0,0.633,0,0,"8,238","6,038",0,0,0,0,0,0,0,0,0,0,0
120701,FRANKLIN,1,0,0,0,"330,679",0,0,0,0,0,"81,100","13,500",0,0.711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"34,623"
120906,HANCOCK,1,0,0,0,"1,028,107",0,0,0,0,0,0,0,0,0.688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121401,MARGARETVILLE,1,0,0,0,"205,599",0,0,0,0,0,0,0,"4,565",0.322,"1,470",0,0,0,0,0,0,0,0,0,0,0,0,0,"48,000"
121502,ROXBURY,1,0,0,0,"108,741",0,"1,410","1,410",0,0,"55,300",0,0,0.453,0,0,"127,260","70,375",0,0,0,0,0,0,0,0,"2,820",0,"28,350"
121601,SIDNEY,1,0,0,"19,879","2,171,150","10,715",0,0,0,0,"93,500",0,0,0.835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"364,084"
