DBSFH1, 04/13/24,INC,REP,E(WM0265) 05 2024-25 CURRENT YR BUILDING AID RATIO,F(WE0081) 03 SEL BLDG AID RATIO 23-24 BL AID<7/1/00,G(NO0391) 05 SEL BLDG AID RATIO 24-25 BL AID<7/1/98,H(MA0015) 0A LEGEND FOR CURRENT YEAR BLDG AID,I(NO0396) 05 INCENTIVE DECIMAL FOR EXP>=7/1/98,"J(NO0397) 05 SEL AID RATIO, APPR >= 7/1/98",K(WE0096) 03 SEL BLDG AID RATIO FOR 99-00 BLDG AID,L(NO0400) 05 LOW INCOME BLDG AID RATIO >= 7/1/00,M(NO0402) 05 INCENTIVE DECIMAL FOR EXP >= 7/1/00,N(NO0403) 05 SEL BLDG AID RATIO FOR EXP >= 7/1/00,O(NO0406) 05 LOW INCOME BLDG AID RATIO >= 7/1/05,"P(MI0014) 00 2003 NEED/RESOURCE CAPACITY CODE, 1-4=HI NEED","Q(NO0407) 05 HNSBAR: HIGH NEED, FOR EXP >= 7/1/05",R(NO0408) 05 INCENTIVE DECIMAL FOR EXP >= 7/1/05,S(NO0409) 05 SEL BLDG AID RATIO FOR EXP >= 7/1/05,T(NO0580) 02 REORG BLDG INCENTVE RATIO(.25 OR .30),U(NO0696) 00 BLDG LEASE EXPENDITURES,V(NO0697) 00 BLDG AMORT-RETRO EXPENDITURES,W(NO0698) 00 BLDG AMORT-PROSP EXPENDITURES,X(NO0695) 00 BLDG AMORT-CAP OUTLAY EXPENDITURES,Y(NO0699) 00 BLDG 2023 DEFERD JULY EXPENDITURES,Z(NO0703) 00 BLDG 2022 DEFERD JULY EXPENDITURES,AA(NO0700) 00 BLDG NYC UNCONFIRMED EXPENDITURES,AB(NO0701) 00 BLDG REFUND/REFIN EXPENDITURES (A.R.),AC(NO0702) 00 BLDG REFUND/REFIN EXPENDITURES (100%),AD(NO0567) 00 BLDG EXPENDITURE FOR 3 CAP OUTLAY EXCEPTIONS,"AE(B10171) 00 BLDG EXPENDITURE FOR METAL DETECTORS,ETC.","AF(NO0386) 05 AID RATIO FOR METAL DETECTORS,ETC. AID",AG(NO0727) 00 BLDG EXP. FOR WATER TESTING,AH(NO0728) 05 AID RATIO FOR WATER TESTING
031502,JOHNSON   CITY,1,0,0.782,0.775,0.782,CURRENT YEAR ,0.100,0.882,0.629,0.000,0.100,0.882,0.000,3,0.039,0.100,0.921,0.25,0,0,"6,722,872",0,0,0,0,0,0,"100,000",0,0.882,0,0.821
031601,VESTAL,1,0,0.687,0.733,0.733,09-10 BLD AR ,0.100,0.833,0.634,0.000,0.100,0.787,0.000,5,0.000,0.100,0.787,0.00,0,0,"2,952,302",0,0,0,0,0,0,"100,000",0,0.787,500,0.687
031701,WINDSOR,1,0,0.745,0.815,0.815,09-10 BLD AR ,0.100,0.915,0.801,0.000,0.100,0.845,0.000,5,0.000,0.100,0.845,0.00,0,0,"4,014,112",0,0,0,0,0,0,"100,000",0,0.845,0,0.745
040204,WEST VALLEY,1,0,0.619,0.850,0.850,93-94 BLD AR ,0.100,0.950,0.850,0.000,0.100,0.850,0.000,5,0.000,0.100,0.850,0.00,0,0,"552,172",0,0,0,0,0,0,0,0,0.719,0,0.750
040302,ALLEGANY-LIMES,1,0,0.775,0.883,0.883,93-94 BLD AR ,0.067,0.950,0.883,0.000,0.100,0.883,0.000,5,0.000,0.100,0.883,0.30,0,"430,793","2,979,518",0,0,0,0,752,"22,655","100,000",0,0.875,500,0.783
040901,ELLICOTTVILLE,1,0,0.018,0.651,0.651,93-94 BLD AR ,0.100,0.751,0.651,0.000,0.100,0.651,0.000,5,0.000,0.100,0.651,0.00,0,0,"1,390,762",0,0,0,0,0,0,0,0,0.118,"5,000",0.551
041101,FRANKLINVILLE,1,0,0.773,0.849,0.849,93-94 BLD AR ,0.100,0.949,0.849,0.000,0.100,0.873,0.000,4,0.038,0.100,0.911,0.00,0,0,"2,381,958",0,0,0,0,0,0,"100,000",0,0.873,0,0.811
041401,HINSDALE,1,0,0.715,0.861,0.861,93-94 BLD AR ,0.089,0.950,0.861,0.000,0.100,0.861,0.000,4,0.038,0.100,0.899,0.00,0,0,"648,662",0,0,0,0,0,0,"100,000",0,0.815,0,0.799
042302,CATTARAUGUS-LI,1,0,0.737,0.869,0.869,93-94 BLD AR ,0.081,0.950,0.869,0.000,0.100,0.869,0.000,4,0.038,0.100,0.907,0.30,0,"39,482","3,863,342",0,0,0,0,0,0,"100,000",0,0.837,0,0.807
042400,OLEAN,1,0,0.827,0.834,0.834,22-23 BLD AR ,0.100,0.934,0.832,0.000,0.100,0.927,0.000,3,0.041,0.100,0.968,0.00,0,0,"3,530,958",0,0,0,0,0,0,"100,000","35,000",0.927,"10,000",0.868
