DBSFK1, 04/13/24,INC,REP,E(WM0182) 05 COMBINED WEALTH RATIO (CWR),F(K10134) 00 2023-24 CHARTER SCH ENR W/O BOE APPROVED,G(K20134) 00 2022-23 CHARTER SCH ENR W/O BOE APPROVED,H(K30134) 00 2021-22 CHARTER SCH ENR W/O BOE APPROVED,I(K20135) 00 2020-21 CHARTER SCH ENR W/O BOE APPROVED,J(NO0881) 00 INCREASE FROM: 22-23 TO 23-24,K(NO0886) 00 INCREASE FROM: 21-22 TO 22-23,L(NO0891) 00 INCREASE FROM: 20-21 TO 21-22,M(NO0882) 00 2023-24 TOTAL RES PUBLIC ENR,N(NO0887) 00 2022-23 TOTAL RES PUBLIC ENR,O(NO0892) 00 2021-22 TOTAL RES PUBLIC ENR,P(E10008) 00 23-24 PYMTS TO CH SCH (EST),Q(E20008) 00 22-23 PYMTS TO CH SCH (PRELIM),R(E30008) 00 21-22 PYMTS TO CH SCH (ACTUAL),S(E10001) 00 2023-24 TGFE (EST),T(E20001) 00 2022-23 TGFE (PRELIM),U(E30001) 00 2021-22 TGFE (ACTUAL),V(E10007) 00 23-24 CH SCH TOT BASIC TUIT/PUPIL,W(NO0885) 00 AID1 @ 23-24 TUITION/P*.8*INCR,X(NO0890) 00 AID2 @ 23-24 TUITION/P*.6*INCR,Y(NO0895) 00 AID3 @ 23-24 TUITION/P*.4*INCR,Z(FA0013) 00 24-25 TRANSTN AID FOR CHARTER SCH PYMTS
451001,LYNDONVILLE,1,0,0.487,0,0,0,0,0,0,0,547,551,564,0,0,0,"16,939,491","14,845,226","14,507,203","12,897",0,0,0,0
460102,ALTMAR PARISH,1,0,0.453,0,0,0,0,0,0,0,992,"1,050","1,030",0,0,0,"36,918,635","33,136,941","38,525,287","13,897",0,0,0,0
460500,FULTON,1,0,0.338,0,0,0,0,0,0,0,"3,093","3,162","3,154",0,0,0,"84,395,000","78,540,585","73,996,678","13,336",0,0,0,0
460701,HANNIBAL,1,0,0.342,0,0,0,0,0,0,0,"1,217","1,161","1,182",0,0,0,"36,482,802","35,492,878","33,077,274","11,420",0,0,0,0
460801,CENTRAL SQUARE,1,0,0.539,0,0,1,0,0,0,1,"3,464","3,494","3,508",0,0,"10,761","93,045,211","84,929,430","85,618,996","11,269",0,0,0,0
460901,MEXICO,1,0,0.529,0,0,0,0,0,0,0,"1,965","1,945","1,893",0,0,0,"62,882,979","57,629,341","55,118,207","13,841",0,0,0,0
461300,OSWEGO,1,0,0.501,0,0,0,0,0,0,0,"3,569","3,532","3,501",0,0,0,"100,523,950","97,611,866","89,204,743","13,558",0,0,0,0
461801,PULASKI,1,0,0.590,0,0,0,0,0,0,0,892,903,904,0,0,0,"30,495,000","26,453,261","25,598,660","14,245",0,0,0,0
461901,SANDY CREEK,1,0,0.536,0,0,0,0,0,0,0,742,742,736,0,0,0,"26,386,330","25,053,817","21,899,803","15,304",0,0,0,0
462001,PHOENIX,1,0,0.512,0,1,0,0,0,1,0,"1,627","1,643","1,662",0,0,0,"48,749,941","47,562,605","49,110,305","13,230",0,0,0,0
470202,GLBTSVLLE-MT U,1,0,0.565,0,0,0,0,0,0,0,326,327,331,0,0,0,"10,897,688","10,989,651","9,312,727","14,333",0,0,0,0
470501,EDMESTON,1,0,0.611,0,0,0,0,0,0,0,368,343,339,0,0,0,"11,234,318","10,662,798","9,935,993","13,638",0,0,0,0
470801,LAURENS,1,0,0.567,0,0,0,0,0,0,0,292,297,298,0,0,0,"11,073,275","10,105,345","8,895,804","11,871",0,0,0,0
470901,SCHENEVUS,1,0,0.583,0,0,0,0,0,0,0,254,260,277,0,0,0,"10,593,751","9,733,972","9,244,603","14,505",0,0,0,0
471101,MILFORD,1,0,0.677,0,0,0,0,0,0,0,324,317,347,0,0,0,"11,641,001","10,342,172","10,407,106","15,303",0,0,0,0
471201,MORRIS,1,0,0.555,0,0,0,0,0,0,0,292,297,305,0,0,0,"10,409,067","9,159,394","9,433,312","11,798",0,0,0,0
471400,ONEONTA,1,0,0.637,0,0,0,0,0,0,0,"1,664","1,662","1,605",0,0,0,"46,210,485","42,116,100","39,419,749","14,182",0,0,0,0
471601,OTEGO-UNADILLA,1,0,0.530,0,0,0,0,0,0,0,759,767,724,0,0,0,"24,049,231","22,090,794","21,490,112","12,799",0,0,0,0
471701,COOPERSTOWN,1,0,1.259,0,0,0,0,0,0,0,766,762,783,0,0,0,"22,675,443","19,987,213","18,789,115","14,060",0,0,0,0
472001,RICHFIELD SPRI,1,0,0.670,0,0,0,0,0,0,0,423,418,407,0,0,0,"14,078,329","11,829,621","11,487,283","12,377",0,0,0,0
472202,CHERRY VLY-SPR,1,0,0.805,0,0,0,0,0,0,0,431,441,429,0,0,0,"14,601,663","13,317,564","12,755,355","15,158",0,0,0,0
472506,WORCESTER,1,0,0.518,0,0,0,0,0,0,0,313,334,314,0,0,0,"12,158,746","10,429,529","10,147,771","13,958",0,0,0,0
480101,MAHOPAC,1,0,0.919,0,0,0,0,0,0,0,"3,895","3,841","3,842",0,0,0,"137,960,937","126,796,502","120,052,651","15,429",0,0,0,0
480102,CARMEL,1,0,0.945,0,0,0,0,0,0,0,"3,747","3,799","3,843",0,0,0,"140,949,698","134,493,064","126,587,144","17,378",0,0,0,0
480401,HALDANE,1,0,1.526,0,0,0,0,0,0,0,744,750,736,0,0,0,"28,234,680","25,944,397","24,716,711","15,811",0,0,0,0
480404,GARRISON,1,0,2.922,0,0,0,0,0,0,0,284,307,301,0,0,0,"12,564,788","11,216,113","11,561,856","22,065",0,0,0,0
480503,PUTNAM VALLEY,1,0,0.951,0,0,0,0,0,0,0,"1,533","1,569","1,595",0,0,0,"58,145,135","55,338,588","50,524,245","18,487",0,0,0,0
480601,BREWSTER,1,0,1.054,0,0,0,0,0,0,0,"2,952","2,966","3,005",0,0,0,"115,708,974","116,936,400","95,394,415","18,579",0,0,0,0
490101,BERLIN,1,0,0.821,0,0,0,0,0,0,0,640,645,647,0,0,0,"22,961,015","23,098,915","21,916,787","15,059",0,0,0,0
490202,BRUNSWICK CENT,1,0,0.895,9,10,7,7,0,3,0,"1,049","1,064","1,083","142,000","115,555","88,747","27,776,808","25,236,379","26,307,311","12,816",0,0,0,0
490301,EAST GREENBUSH,1,0,0.845,10,10,14,17,0,0,0,"4,116","4,103","4,072","293,000","196,960","213,068","107,804,305","98,795,052","96,486,180","13,818",0,0,0,0
490501,HOOSICK FALLS,1,0,0.520,0,0,0,0,0,0,0,"1,008","1,026","1,025",0,0,0,"31,697,442","23,799,734","22,691,323","14,425",0,0,0,0
490601,LANSINGBURGH,1,0,0.444,181,175,174,182,6,1,0,"2,195","2,202","2,167","2,391,965","2,264,852","2,058,821","60,541,069","56,420,859","52,331,451","12,613","60,542","7,568",0,"68,110"
490804,WYNANTSKILL,1,0,0.873,4,3,3,0,1,0,3,393,392,422,"58,464","42,963","36,225","10,546,565","10,079,937","9,630,477","14,616",0,0,0,0
